p rho floor moller
1 1.00000 1.00000 1.00000
3 0.79245 0.71548 0.79245
5 0.66667 0.65812 0.66245
7 0.62797 0.62797 0.60056
9 0.61095 0.61003 0.55928
11 0.59947 0.59867 0.53220
13 0.59102 0.59024 0.51194
15 0.59772 0.58390 0.49684
17 0.57989 0.57893 0.48478
19 0.58457 0.57486 0.47515
21 0.58447 0.57152 0.46715
