p rho floor moller
1 1.00000 1.00000 1.00000
3 0.79245 0.79245 0.79245
5 0.66667 0.66667 0.66245
7 0.60500 0.60500 0.60056
9 0.60049 0.58384 0.55928
11 0.57411 0.56431 0.53220
13 0.58331 0.55002 0.51194
15 0.55764 0.53938 0.49684
17 0.58326 0.52908 0.48478
19 0.59041 0.52473 0.47515
21 0.60634 0.52280 0.46715
