p rho floor moller
1 1.00000 1.00000 1.00000
3 0.90856 0.90856 0.90856
5 0.78378 0.78378 0.78378
7 0.75000 0.75000 0.74062
9 0.71138 0.71138 0.70068
11 0.70905 0.70905 0.68028
13 0.71995 0.70267 0.66087
15 0.71097 0.69918 0.64906
17 0.71279 0.69808 0.63764
19 0.70740 0.69932 0.62996
21 0.70981 0.69509 0.62246
23 0.70169 0.68811 0.61706
25 0.70688 0.68945 0.61176
27 0.70610 0.68810 0.60776
29 0.71661 0.68693 0.60382
31 0.76697 0.68698 0.60074
33 0.76806 0.68628 0.59769
