p rho floor moller
1 1.00000 1.00000 1.00000
3 0.84090 0.84090 0.84090
5 0.72191 0.72191 0.71357
7 0.66144 0.66144 0.65804
9 0.65636 0.64022 0.61772
11 0.62121 0.62040 0.59276
13 0.64439 0.61922 0.57310
15 0.61264 0.59948 0.55902
17 0.63339 0.60100 0.54738
19 0.62285 0.59826 0.53836
21 0.63079 0.59288 0.53066
23 0.62862 0.58996 0.52439
