p rho floor moller
1 1.00000 1.00000 1.00000
3 0.84090 0.74767 0.84090
5 0.71357 0.69593 0.71357
7 0.67770 0.67134 0.65804
9 0.66195 0.65917 0.61772
11 0.65186 0.65116 0.59276
13 0.64517 0.64478 0.57310
15 0.64065 0.63995 0.55902
17 0.63667 0.63608 0.54738
19 0.63364 0.63305 0.53836
21 0.63106 0.63059 0.53066
23 0.62891 0.62847 0.52439
