x y w logw
0.66635189 -2.25951240 6.325938e-03 -2.1989
1.02900632 -1.45989786 1.983948e-02 -1.7025
0.63586936 -0.73339408 5.644702e-02 -1.2484
0.80418324 -0.01913383 6.524986e-02 -1.1854
0.67756220 0.70236053 5.314209e-02 -1.2746
0.76327560 1.46060710 2.399005e-02 -1.6200
0.75470677 2.25714074 5.664230e-03 -2.2469
0.64740116 3.09040819 7.323671e-04 -3.1353
0.64013158 4.75863235 1.255033e-06 -5.9013
0.87717562 5.87670354 3.552211e-09 -8.4495
1.99554565 -6.94856386 1.283564e-12 -11.8916
2.17595588 -5.71049146 1.427772e-09 -8.8453
1.71767640 -4.73677052 3.977043e-07 -6.4004
1.43778487 -3.81768941 2.796216e-05 -4.5534
1.60409577 -2.92188858 3.337082e-04 -3.4766
1.47187249 -2.18567051 3.023159e-03 -2.5195
1.88939675 -1.46979946 5.889234e-03 -2.2299
1.44888669 -0.73257296 2.595058e-02 -1.5859
1.57417956 0.01496264 2.575007e-02 -1.5892
1.43192914 0.74736074 2.485117e-02 -1.6047
1.51597178 1.48969910 9.059351e-03 -2.0429
1.50131410 2.22374587 2.446843e-03 -2.6114
1.45002645 3.00158547 3.953285e-04 -3.4030
1.20387520 3.88485182 3.268573e-05 -4.4856
1.43483460 4.92439134 2.396960e-07 -6.6203
1.93299655 5.77835448 1.492295e-09 -8.8261
3.34587147 -5.04899961 1.649979e-09 -8.7825
2.61776733 -4.79685130 3.664361e-08 -7.4360
2.28929418 -3.98048074 2.840821e-06 -5.5466
2.22460016 -3.20067737 4.738374e-05 -4.3244
2.33945228 -2.29071568 5.506788e-04 -3.2591
2.73423831 -1.47925665 8.719718e-04 -3.0595
2.28327218 -0.68778173 6.076383e-03 -2.2164
2.29775968 0.09606818 6.176649e-03 -2.2092
2.22939222 0.85646274 5.811692e-03 -2.2357
2.25052618 1.65910770 1.872651e-03 -2.7275
2.27225214 2.49240831 3.760574e-04 -3.4247
2.15168074 3.41613903 3.367634e-05 -4.4727
2.00812341 4.26500257 1.682804e-06 -5.7740
2.49231255 4.96929858 2.329604e-08 -7.6327
2.84753109 6.50874972 3.332608e-12 -11.4772
3.15323624 -3.91223538 4.370372e-07 -6.3595
2.98737716 -3.00662610 1.439887e-05 -4.8417
3.27794996 -2.19325995 4.943526e-05 -4.3060
3.12887563 -0.69207074 6.202902e-04 -3.2074
3.00199249 0.08056986 9.646978e-04 -3.0156
3.06787966 0.86755741 6.546686e-04 -3.1840
2.95864743 1.60455152 2.835776e-04 -3.5473
3.10792856 2.25972437 5.811660e-05 -4.2357
2.98214836 3.08402112 1.182095e-05 -4.9273
2.95185462 4.04726222 5.101590e-07 -6.2923
3.32920244 -6.23661943 4.199367e-12 -11.3768
4.10340000 -4.53284605 9.429466e-10 -9.0255
3.96175395 -3.87327294 1.768479e-08 -7.7524
3.90685590 -3.05866481 6.151119e-07 -6.2110
4.19592058 -2.18569846 1.758457e-06 -5.7549
3.64904836 -1.37168839 5.614210e-05 -4.2507
4.02475436 -0.47886810 3.117815e-05 -4.5061
3.65324602 0.09225690 7.727503e-05 -4.1120
3.96613463 0.62989320 3.417250e-05 -4.4663
3.81457561 1.48504547 2.845967e-05 -4.5458
3.86224036 2.43439751 3.511951e-06 -5.4545
3.82323287 3.39495998 2.927428e-07 -6.5335
3.88083641 4.42493379 4.982841e-09 -8.3025
3.23082284 5.25603794 8.735295e-10 -9.0587
4.19545883 5.87372441 1.343115e-12 -11.8719
4.64686948 -5.47428707 1.959907e-12 -11.7078
4.79657008 -3.84179413 8.628428e-10 -9.0641
4.98226540 -2.92664098 9.540228e-09 -8.0204
5.02049776 -1.85047411 7.178507e-08 -7.1440
4.42588785 -1.24998660 2.418567e-06 -5.6164
5.04298902 -0.81326896 2.628039e-07 -6.5804
4.78281452 0.07182943 1.478725e-06 -5.8301
4.78604762 1.02285492 8.299740e-07 -6.0809
