p rho floor moller
1 1.00000 1.00000 1.00000
3 1.00000 1.00000 1.00000
5 0.88192 0.88192 0.88192
7 0.86603 0.86603 0.86603
9 0.84853 0.82462 0.82462
11 0.83333 0.83333 0.81650
13 0.83299 0.82065 0.79539
15 0.82916 0.82916 0.79057
17 0.82402 0.82402 0.77778
19 0.82462 0.82462 0.77460
21 0.82322 0.81818 0.76601
23 0.82074 0.82074 0.76376
25 0.82131 0.81770 0.75760
27 0.82065 0.82065 0.75593
29 0.82462 0.81921 0.75130
31 0.83385 0.81968 0.75000
33 0.84837 0.81720 0.74639
