p rho floor moller
1 1.00000 1.00000 1.00000
3 1.00000 0.86603 1.00000
5 0.88192 0.81650 0.88192
7 0.86603 0.82916 0.86603
9 0.82462 0.82462 0.82462
11 0.81650 0.81650 0.81650
13 0.82065 0.82065 0.79539
15 0.81968 0.81968 0.79057
17 0.81650 0.81650 0.77778
19 0.81854 0.81854 0.77460
21 0.81818 0.81818 0.76601
23 0.81650 0.81650 0.76376
25 0.81770 0.81770 0.75760
27 0.81754 0.81754 0.75593
29 0.81650 0.81650 0.75130
31 0.81729 0.81729 0.75000
33 0.81932 0.81720 0.74639
35 0.81650 0.81650 0.74536
37 0.81876 0.81706 0.74246
39 0.81854 0.81701 0.74162
41 0.81650 0.81650 0.73925
43 0.81818 0.81692 0.73855
45 0.82035 0.81688 0.73657
47 0.82074 0.81650 0.73598
49 0.82171 0.81682 0.73430
51 0.82131 0.81680 0.73380
53 0.82152 0.81650 0.73236
55 0.82065 0.81676 0.73193
57 0.82326 0.81674 0.73068
59 0.82057 0.81650 0.73030
61 0.81735 0.81671 0.72920
63 0.82206 0.81670 0.72887
65 0.81986 0.81650 0.72790
67 0.82143 0.81667 0.72761
69 0.82115 0.81666 0.72675
71 0.82027 0.81650 0.72648
73 0.82066 0.81665 0.72571
75 0.82381 0.81664 0.72548
77 0.82371 0.81650 0.72478
