# Designed quadrature rule — Legendre / uniform (Le) family
# family: legendre
# weight function: uniform on the unit cube, density 1 on [0,1]^d (Lebesgue measure, the unit cube frame of the bank)
# normalization: total mass 1, so the weights sum to 1
# verified: sum of weights = 1   (|sum w - 1| = 4.953e-18)
# domain: [0,1]^d
# d: 4   p: 19   q: 10   n: 1612
# exactness: all monomials of total degree <= p
# verified max relative monomial error (BigFloat, 192 bits): 4.992888e-18
# relative error definition: |sum_s w_s prod_k x_sk^a_k - E[x^a]| / max(sum_s |w_s| prod_k |x_sk|^a_k, 1)
# project relative gate: 1.0e-11 (passed)
# min weight: 2.0582126908050072e-05   max weight: 0.003004448168194041   (all weights positive)
# node range: [4.9971046861711869e-07, 0.99999950028953133] (all nodes strictly inside the cube)
# source file: rules/legendre_d4_p19_n1612.csv   (local tree: sync)
# source sha256: 88da5e019964646399021a147e1148bae6ba2fe166bbb10b04a3c50ce777cc1f
# precision shipped: Float64 round-trip (17 significant digits)
# credit: ours
# credit note: our own tooling produced this rule — a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-06 20:44 UTC. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work
# credit evidence grade: cluster-find-ledger
# credit evidence: a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-06 20:44 UTC
# lineage parent: unrecorded
# lineage chain root: unrecorded
# credit vocabulary: ours | derived-from:<rule> (<paper>) | transcribed:<source> | same-rule:<source> | unrecorded
# tie: no-published-count-on-record
# tie note: no published count for this cell is recorded in the repo
# tie vocabulary: same-rule:<source> | distinct:<source> (equal count, different node set) | unestablished:<source> | no-tie | no-published-count-on-record
# extended precision: twin-shipped
# Float64 file origin: round-down of the extended twin (row order shared with rules_extended/); the source file above is the bank file the twin was refined from
# extended-precision twin: rules_extended/legendre_d4_p19_q10_n1612.mp.csv (80 digits, verified rel err 2.745088e-70)
# Float64 file: round-down of the extended twin (row order shared): row i here is row i of the twin rounded to Float64
# the twin rounded to IEEE binary128 (Float128): verified rel err 1.916105e-36 (0.01 eps128)
# extended-precision source sha256: abe472a7239de6bb4483275a9d9f40462c0e9b1768f82ad245c7b7aa04eaf3d0
# generated: 2026-09-20T18:06:16 by make_publish.jl
# columns: x1,x2,x3,x4,w
x1,x2,x3,x4,w
0.7321309507022955,0.6116404211818094,0.6008661695930496,0.9331721505520417,0.0016101937046671998
0.26786904929770455,0.38835957881819066,0.39913383040695044,0.06682784944795832,0.0016101937046671998
0.020917667018289066,0.8059044994143368,0.7452500544721451,0.9418719795478637,0.0002807495060902655
0.9790823329817109,0.1940955005856632,0.25474994552785496,0.05812802045213623,0.0002807495060902655
0.22214212373079478,0.07492734672181812,0.7189340821820707,0.9192696216346897,0.000552933016465693
0.7778578762692052,0.9250726532781819,0.2810659178179294,0.0807303783653103,0.000552933016465693
0.024899737171932078,0.9391025060344398,0.9751498690428493,0.9864422515496887,3.88143914209222e-5
0.9751002628280679,0.06089749396556021,0.024850130957150666,0.013557748450311274,3.88143914209222e-5
0.9791755741816299,0.9830414870130183,0.20387014554717575,0.05121791121170719,9.208886952726438e-5
0.02082442581837011,0.016958512986981644,0.7961298544528242,0.9487820887882928,9.208886952726438e-5
0.7773945967846501,0.38933399378210876,0.42212505454639115,0.9149720150916479,0.0007012169093287679
0.22260540321534994,0.6106660062178912,0.5778749454536088,0.0850279849083521,0.0007012169093287679
0.004326018437091104,0.34640546514738096,0.00979365507292533,0.9220563007297968,6.226379253888154e-5
0.9956739815629089,0.653594534852619,0.9902063449270747,0.07794369927020313,6.226379253888154e-5
0.10783266288439305,0.0715354068314137,0.9572595253533357,0.3487397874954797,0.00035734480780584625
0.8921673371156069,0.9284645931685863,0.042740474646664306,0.6512602125045204,0.00035734480780584625
0.3678688170939851,0.8315988485102105,0.014988561374335116,0.21572962999215228,0.0004590330969962078
0.6321311829060149,0.16840115148978957,0.9850114386256649,0.7842703700078477,0.0004590330969962078
0.8233912916966196,0.2692863288667564,0.5431813762176322,0.21163556524387692,0.0018553165088427519
0.17660870830338035,0.7307136711332436,0.45681862378236787,0.7883644347561231,0.0018553165088427519
0.06190491130915284,0.03604300325756119,0.7394275295665509,0.017172965987407158,0.00012382849630497876
0.9380950886908471,0.9639569967424388,0.26057247043344905,0.9828270340125929,0.00012382849630497876
0.008822615731993425,0.9816301826972903,0.4973349917799485,0.7436744402838278,0.0001363198584740354
0.9911773842680066,0.018369817302709705,0.5026650082200514,0.25632555971617227,0.0001363198584740354
0.8100753424504229,0.9685470938562601,0.9214986933466169,0.27416855250301836,0.0004319393896327969
0.18992465754957716,0.03145290614373983,0.0785013066533831,0.7258314474969816,0.0004319393896327969
0.2753196001864263,0.5114268006235798,0.9883439020315495,0.9378593630137919,0.0003175170339795869
